url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/nagarjuna-kaarpaasaasthyaadi-thailam-otc376474,Nagarjuna Kaarpaasaasthyaadi Thailam,Nagarjuna Ayurvedic Centre,,"Taila (Sesame oil, Sesamum indicum), Aranala (Fermented gruel), Laksha (Laccifer lacca), Haridra (Turmeric rhizome, Curcuma longa), Manjishta (Indian Madder, Rubia cordifolia), It is an ayurvedic oil, It is beneficial for headache, It is useful for muscular issues, It is useful in rhinitis, bronchitis, bronchial asthma, pruritis, epilepsy and hysteria","Nagarjuna Kaarpaasaasthyaadi Thailam is used in oil massage, ayurvedic procedures like basti (enema), dhara, nasya, For oral administration: Dose is 5 – 10 ml along with warm water, usually before food, Or as directed by the ayurvedic doctor","Store in a cool and dry place away from direct sunlight, Read the label carefully, Keep out of reach of children"
https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-chebula-dilution-12-ch-otc406355,,Dr Willmar Schwabe India Pvt Ltd,,,,
https://www.1mg.com/otc/aroma-treasures-lime-essential-oil-otc485048,,Aroma Treasures Pvt Ltd,,,,
https://www.1mg.com/otc/dr.-reckeweg-taraxacum-officinale-dilution-3x-otc375359,Dr. Reckeweg Taraxacum Officinale Dilution,Dr Reckeweg & Co,,"Taraxacin, Taraxacerin, Acrystalline, Potash, Gum, B-complex, Vitamins A, C, D, 11ml, Dilution, This dilution may help to relieve kidney and bone disorders, It helps to manage warts and acne, This is an effective remedy in managing liver complaints, It also supports urinary organs, This formula may help to reduce infections and swelling and manage water retention, and breast problems, It also helps to deal with gallbladder problems, viruses, and pneumonia, This product promotes normal digestion",,"Read the label carefully before use, Store in a cool and dry place, Keep out of reach of children, Do not exceed the recommended dose, Self-medication is not advised"
https://www.1mg.com/otc/flamingo-pain-relief-spray-otc888868,Flamingo Pain Relief Spray,Astronia Life Sciences,,,,
https://www.1mg.com/otc/nagarjuna-karppooraadi-thailam-otc376819,Nagarjuna Karppooraadi Thailam,Nagarjuna Ayurvedic Centre,,"Coconut oil, Camphor, 200 ml, Oil, Men/Women, Medicated oil with camphor, used to relieve pain and inflammation on external application, Relieves the stiffness caused by spasm, cramp, chronic ailments etc. and aids in painless movements of joints, It acts as refreshing oil for massage which also helps in soothing down the painful muscles and joints, If applied to the chest, it relieves chest congestion, Karpooradi thailam instantly helps in alleviating pain and swelling, it is usually advised in acute ailments and blunt injuries, Enhances blood circulation to affected areas for better healing",Use as mentioned on the label or as directed by the physician,"Store in a cool and dry place away from direct sunlight, Read the product label carefully before use, Keep out of reach of children, For external use only"
https://www.1mg.com/otc/orwalk-silicon-digital-cap-otc491654,Orwalk Silicon Digital Cap,Dr. Sayani's Health Care Pvt. Ltd.,"Relieves the pain from callous, corns, hammer or blisters toes",,Read the label carefully before use.,"Read the label carefully before use, Store in a cool and dry place away from direct sunlight, Keep out of reach of children"
https://www.1mg.com/otc/dhootapapeshwar-swamala-compound-with-gold-100-ayurvedic-for-complete-health-ideal-for-all-season-otc393301,Dhootapapeshwar Swamala,Shree Dhootapapeshwar Ltd,,"Chyavanprash (ashtavarga), suvarna bhasma, roupya bhasma, abhraka bhasma, kantaloha, bhasma, pravala pishti, and makardhwaj (poornachandrodaya)., Paste",,
https://www.1mg.com/otc/dyna-3d-knitted-lumbar-brace-with-silicone-pad-xl-otc392250,,Dynamic Techno Medicals Pvt. Ltd.,,,,
https://www.1mg.com/otc/mgrm-rib-belt-female-0402-large-otc390699,,MGRM Medicare Ltd.,,,,
